WeekdayName,IssuedStatus,IssuingDate,TFSStatus,DeskID,TouristCountryNumIsoCode,InvoiceNumber,DocumentIdentifier,TotalGrossAmount,TotalRefundAmount
"miércoles,2/4/2025,Issued,12:40:59,Processed by Global Blue,1421410,UNITED STATES,8833,11065408315117118646,""119,990.00"",""15,598.70"""
"jueves,3/4/2025,Issued,10:23:02,Issued,1421410,FRANCE,8839,11065408315117119375,""25,980.00"",""3,377.40"""
"sábado,5/4/2025,Issued,11:53:14,Issued,1421410,UNITED STATES,8854,11065408315117121871,""180,980.00"",""23,527.40"""
"sábado,5/4/2025,Issued,14:45:53,Processed by Global Blue,1421410,BRAZIL,8856,11065408315117122210,""240,970.00"",""31,326.10"""
"domingo,6/4/2025,Issued,16:20:02,Processed by Global Blue,1421410,GERMANY,8869,11065408315117123651,""124,990.00"",""16,248.70"""
"martes,8/4/2025,Issued,18:10:14,Processed by Global Blue,1421410,BRAZIL,8884,11065408315117126254,""44,990.00"",""5,848.70"""
"miércoles,9/4/2025,Issued,15:06:59,Issued,1421410,CHINA,8990,11065408315117127080,""189,990.00"",""24,698.70"""
"miércoles,9/4/2025,Issued,15:58:22,Issued,1421410,COSTA RICA,8891 y 8892,11065408315117127177,""838,850.00"",""117,439.00"""
"miércoles,9/4/2025,Issued,17:52:29,Issued,1421410,FRANCE,8894,11065408315117127359,""256,950.00"",""33,403.50"""
"miércoles,9/4/2025,Issued,18:01:29,Issued,1421410,FRANCE,8895,11065408315117127363,""39,990.00"",""5,198.70"""
"miércoles,9/4/2025,Issued,18:06:06,Issued,1421410,FRANCE,8896,11065408315117127385,""39,990.00"",""5,198.70"""
"miércoles,9/4/2025,Issued,19:32:34,Issued,1421410,MEXICO,251,11065408315117127623,""88,990.00"",""11,568.70"""
"jueves,10/4/2025,Issued,11:33:42,Issued,1421410,TURKEY,252,11065408315117127938,""89,990.00"",""11,698.70"""
"jueves,10/4/2025,Issued,13:28:56,Issued,1421410,UNITED STATES,253,11065408315117128248,""84,960.00"",""11,044.80"""
"jueves,10/4/2025,Issued,16:39:23,Issued,1421410,BRAZIL,259,11065408315117128847,""13,990.00"",""1,818.70"""
"jueves,10/4/2025,Issued,17:43:07,Issued,1421410,COSTA RICA,260,11065408315117129049,""265,950.00"",""34,573.50"""
"jueves,10/4/2025,Issued,17:45:15,Processed by Global Blue,1421410,COSTA RICA,261,11065408315117129065,""89,990.00"",""11,698.70"""
"domingo,13/4/2025,Issued,12:35:11,Processed by Global Blue,1421410,CHINA,8910,11065408315117132994,""289,980.00"",""37,697.40"""
"domingo,13/4/2025,Issued,12:49:22,Issued,1421410,UNITED STATES,8913,11065408315117133017,""119,990.00"",""15,598.70"""
"domingo,13/4/2025,Issued,15:23:49,Processed by Global Blue,1421410,COSTA RICA,8917,11065408315117133375,""592,940.00"",""83,011.60"""
"lunes,14/4/2025,Issued,16:02:08,Issued,1421410,MEXICO,8927,11065408315117135147,""113,930.00"",""14,810.90"""
"lunes,14/4/2025,Issued,16:10:08,Issued,1421410,MEXICO,8928,11065408315117135199,""44,970.00"",""5,846.10"""
"lunes,14/4/2025,Issued,16:29:42,Issued,1421410,RUSSIAN FEDERATION,8930,11065408315117135264,""159,990.00"",""20,798.70"""
"martes,15/4/2025,Issued,12:51:37,Processed by Global Blue,1421410,CANADA,8936,11065408315117136508,""217,950.00"",""28,333.50"""
"martes,15/4/2025,Issued,13:56:39,Issued,1421410,CANADA,269,11065408315117136826,""169,980.00"",""22,097.40"""
"martes,15/4/2025,Issued,17:00:44,Issued,1421410,UNITED STATES,274,11065408315117137403,""219,990.00"",""28,598.70"""
"miércoles,16/4/2025,Issued,12:45:49,Processed by Global Blue,1421410,MEXICO,276,11065408315117138411,""118,930.00"",""15,460.90"""
